number,learning_rate,subsample,max_depth,colsample_bytree,min_child_weight,value,std_err
253,0.1,1,9,0.6,3,0.8883128406867866,0.0012385277515438028
254,0.2,1,9,0.6,3,0.8843237189227175,9.207540898331124e-4
255,0.4,1,9,0.6,3,0.877861234829348,0.0015156796532656942
256,0.05,0.5,3,0.75,3,0.8753527651421625,0.0023200248790168545
257,0.1,0.5,3,0.75,3,0.8794039405709293,0.0016760994481657097
258,0.2,0.5,3,0.75,3,0.8803018639247118,0.0018976728203478677
259,0.4,0.5,3,0.75,3,0.8718000073597842,0.0013974593381198318
260,0.05,0.7,3,0.75,3,0.8754419134964199,0.0022145715913816258
261,0.1,0.7,3,0.75,3,0.8799846809652239,0.0020624451896795707
262,0.2,0.7,3,0.75,3,0.8806071762644584,0.0018818787269674312
263,0.4,0.7,3,0.75,3,0.8740144714725266,0.0014320703709901402
264,0.05,0.85,3,0.75,3,0.8747229990883364,0.0023204915098724533
265,0.1,0.85,3,0.75,3,0.8792671910315094,0.002178377893966195
266,0.2,0.85,3,0.75,3,0.8799817429868378,0.0014090221688005454
267,0.4,0.85,3,0.75,3,0.8770992300716035,0.0017550904521503455
268,0.05,1,3,0.75,3,0.8740949245978235,0.002272464669270252
269,0.1,1,3,0.75,3,0.8779997946382785,0.002209360778682238
270,0.2,1,3,0.75,3,0.8801841073768779,0.0019787272905797517
271,0.4,1,3,0.75,3,0.8773911879641412,0.0014598661859244464
272,0.05,0.5,5,0.75,3,0.8875954694592695,0.001879523460770891
273,0.1,0.5,5,0.75,3,0.8878236524472469,0.0011328438181349312
274,0.2,0.5,5,0.75,3,0.8795234183586257,0.0017024444685987937
