number,max_depth,min_samples_leaf,max_features,min_samples_split,value,std_err
60,4,1,sqrt,10,0.8695031578372133,0.0018073515949452539
61,8,1,sqrt,10,0.8884562899120958,0.0013802403382984487
62,16,1,sqrt,10,0.9031963831248927,0.001410114876937849
63,32,1,sqrt,10,0.904466895404937,0.001589671806018844
64,4,5,sqrt,10,0.8695852069573906,0.001415420242595176
65,8,5,sqrt,10,0.8887902829172327,0.0013721393713168736
66,16,5,sqrt,10,0.9018907794276079,0.0014123713560858068
67,32,5,sqrt,10,0.9030149148281731,0.0013568504446975036
68,4,20,sqrt,10,0.8691342490670914,0.0014762128113465984
69,8,20,sqrt,10,0.8873996830452636,0.0011282012062229306
70,16,20,sqrt,10,0.8963336299904757,0.0013348027440462323
71,32,20,sqrt,10,0.8966302676159695,0.0012978303033914492
72,4,50,sqrt,10,0.8696633136602807,0.001510211981277786
73,8,50,sqrt,10,0.8850454549003076,0.0013423190582739853
74,16,50,sqrt,10,0.8907599692413384,0.0013502087102381355
75,32,50,sqrt,10,0.8908856581885178,0.00119785832024252
76,4,100,sqrt,10,0.8689587822224304,0.0012848853476669087
77,8,100,sqrt,10,0.8822796540040907,0.0012553377867902044
78,16,100,sqrt,10,0.8861032132652583,0.0013148191666682752
79,32,100,sqrt,10,0.8858952409948944,0.0014389280160498979
80,4,1,log2,10,0.8691161080924946,0.0017881917276600112
81,8,1,log2,10,0.8859245554046248,0.0012449355959858626
82,16,1,log2,10,0.8996349946133309,0.0014306796921663189
83,32,1,log2,10,0.9015279599356723,0.001366848488365039
84,4,5,log2,10,0.8709721766827486,0.0014574061859181438
85,8,5,log2,10,0.8854351687042328,0.0013483947960534406
86,16,5,log2,10,0.8979584328696114,0.0014641244223612927
87,32,5,log2,10,0.8990701359938795,0.0014696308221754438
88,4,20,log2,10,0.8687345328430683,0.0012224791985128499
89,8,20,log2,10,0.8838986018080472,0.0013797851953562276
90,16,20,log2,10,0.8925618491108093,0.001261504639097529
91,32,20,log2,10,0.8928325682701765,0.0012721696434501127
92,4,50,log2,10,0.8697153555201649,0.0016492222131946506
93,8,50,log2,10,0.8826778576670258,0.0010597713561477159
94,16,50,log2,10,0.8874116469155464,0.0012616406903561903
95,32,50,log2,10,0.8875287874529643,0.0011739050838759908
96,4,100,log2,10,0.868528853810483,0.001765670672138028
97,8,100,log2,10,0.8799924664699361,0.0010265383786199546
98,16,100,log2,10,0.8829028486892438,0.0012761924454966394
99,32,100,log2,10,0.8830991888769185,0.0012610211838633817
100,4,1,all,10,0.8642779521289053,0.0012799970891005468
101,8,1,all,10,0.9002504313238715,0.0013139537054455814
102,16,1,all,10,0.9059655994816307,0.0011549129951493255
103,32,1,all,10,0.9051216587037644,0.001121202844508703
104,4,5,all,10,0.8648513884334942,0.0014955016957027428
105,8,5,all,10,0.9001579796867926,0.0012806134021867276
106,16,5,all,10,0.9062704732462098,0.0012388494714811321
107,32,5,all,10,0.9064461938107953,0.001147653809300522
108,4,20,all,10,0.8646600055428045,0.0014734158603335367
109,8,20,all,10,0.8970732235701907,0.0012373026751631335
110,16,20,all,10,0.9015086967383328,0.001110085313265819
111,32,20,all,10,0.9019474760722594,9.983273477066064e-4
