number,min_impurity_decrease,min_weight_fraction_leaf,max_depth,min_samples_split,value,std_err
335,0.1,0.05,20,5,0.7096584149140475,0.0016178934983648063
336,0,0.1,20,5,0.7698045478320609,0.0017262719023831553
337,0.001,0.1,20,5,0.7698045478320609,0.0017262719023831553
338,0.005,0.1,20,5,0.7698045478320609,0.0017262719023831553
339,0.01,0.1,20,5,0.7698045478320609,0.0017262719023831553
340,0.02,0.1,20,5,0.7698045478320609,0.0017262719023831553
341,0.05,0.1,20,5,0.7096584149140475,0.0016178934983648063
342,0.1,0.1,20,5,0.7096584149140475,0.0016178934983648063
343,0,0.2,20,5,0.7096584149140475,0.0016178934983648063
344,0.001,0.2,20,5,0.7096584149140475,0.0016178934983648063
345,0.005,0.2,20,5,0.7096584149140475,0.0016178934983648063
346,0.01,0.2,20,5,0.7096584149140475,0.0016178934983648063
347,0.02,0.2,20,5,0.7096584149140475,0.0016178934983648063
348,0.05,0.2,20,5,0.7096584149140475,0.0016178934983648063
349,0.1,0.2,20,5,0.7096584149140475,0.0016178934983648063
350,0,0,3,10,0.7754925191656128,0.0013764495417933162
351,0.001,0,3,10,0.7754925191656128,0.0013764495417933162
352,0.005,0,3,10,0.7754925191656128,0.0013764495417933162
353,0.01,0,3,10,0.7754925191656128,0.0013764495417933162
354,0.02,0,3,10,0.7726548472215716,0.0023820795562714157
355,0.05,0,3,10,0.7096584149140475,0.0016178934983648063
356,0.1,0,3,10,0.7096584149140475,0.0016178934983648063
357,0,0.01,3,10,0.7754925191656128,0.0013764495417933162
358,0.001,0.01,3,10,0.7754925191656128,0.0013764495417933162
359,0.005,0.01,3,10,0.7754925191656128,0.0013764495417933162
360,0.01,0.01,3,10,0.7754925191656128,0.0013764495417933162
361,0.02,0.01,3,10,0.7726548472215716,0.0023820795562714157
362,0.05,0.01,3,10,0.7096584149140475,0.0016178934983648063
363,0.1,0.01,3,10,0.7096584149140475,0.0016178934983648063
364,0,0.05,3,10,0.7748513786750355,0.001501228888388237
365,0.001,0.05,3,10,0.7748513786750355,0.001501228888388237
366,0.005,0.05,3,10,0.7748513786750355,0.001501228888388237
367,0.01,0.05,3,10,0.7748513786750355,0.001501228888388237
368,0.02,0.05,3,10,0.7748513786750355,0.001501228888388237
369,0.05,0.05,3,10,0.7096584149140475,0.0016178934983648063
370,0.1,0.05,3,10,0.7096584149140475,0.0016178934983648063
371,0,0.1,3,10,0.7698045478320609,0.0017262719023831553
372,0.001,0.1,3,10,0.7698045478320609,0.0017262719023831553
373,0.005,0.1,3,10,0.7698045478320609,0.0017262719023831553
374,0.01,0.1,3,10,0.7698045478320609,0.0017262719023831553
375,0.02,0.1,3,10,0.7698045478320609,0.0017262719023831553
376,0.05,0.1,3,10,0.7096584149140475,0.0016178934983648063
377,0.1,0.1,3,10,0.7096584149140475,0.0016178934983648063
378,0,0.2,3,10,0.7096584149140475,0.0016178934983648063
379,0.001,0.2,3,10,0.7096584149140475,0.0016178934983648063
380,0.005,0.2,3,10,0.7096584149140475,0.0016178934983648063
381,0.01,0.2,3,10,0.7096584149140475,0.0016178934983648063
