number,learning_rate,subsample,max_depth,colsample_bytree,value,std_err
209,0.5,0.7,7,0.9,0.7911248761863416,0.00317183214392898
210,0.05,0.85,7,0.9,0.8251389710963567,0.0030000675389920324
211,0.1,0.85,7,0.9,0.8116710263143174,0.003324016438555677
212,0.2,0.85,7,0.9,0.7993804041291206,0.003857111182427327
213,0.3,0.85,7,0.9,0.7970793542964889,0.0035002848412426634
214,0.5,0.85,7,0.9,0.7933369242225239,0.0018124932629969496
215,0.05,1,7,0.9,0.8232732495838823,0.003889232213083306
216,0.1,1,7,0.9,0.8088546905822567,0.004194904229017869
217,0.2,1,7,0.9,0.7974638675149472,0.004138609840814857
218,0.3,1,7,0.9,0.794612761792403,0.0025011372979143512
219,0.5,1,7,0.9,0.7924108633777204,0.002672656592011252
220,0.05,0.5,9,0.9,0.8249252260970552,0.002565851340014817
221,0.1,0.5,9,0.9,0.8199313443424904,0.0030630066389770007
222,0.2,0.5,9,0.9,0.8148920405194329,0.0033142088588552256
223,0.3,0.5,9,0.9,0.8053893485249384,0.0029873878237318733
224,0.5,0.5,9,0.9,0.7972099594919562,0.0030932324895083076
225,0.05,0.7,9,0.9,0.8225251923319777,0.0019426395512741497
226,0.1,0.7,9,0.9,0.817628117198316,0.002257035699776997
227,0.2,0.7,9,0.9,0.8086348826077359,0.0021824000910498718
228,0.3,0.7,9,0.9,0.8086166936820783,0.0020980195011967104
229,0.5,0.7,9,0.9,0.7947446398776954,0.003283765310655632
230,0.05,0.85,9,0.9,0.8207395958842783,0.002210325851844019
231,0.1,0.85,9,0.9,0.8150594925256245,0.0019382915909218505
232,0.2,0.85,9,0.9,0.812204199665498,0.00250875301236484
233,0.3,0.85,9,0.9,0.810213466973366,0.003567288778718575
234,0.5,0.85,9,0.9,0.798557715336949,0.0035178073654350945
235,0.05,1,9,0.9,0.814993235260522,0.0034412720843254307
236,0.1,1,9,0.9,0.8077962491956509,0.002395597868611776
237,0.2,1,9,0.9,0.8047938705665331,0.002693588143113942
238,0.3,1,9,0.9,0.8062172293677121,0.0035497231208234874
