model_number,model_type,draw,metric,Q_i,U_i
model_2,rf,9,recall,0.8160328512765578,6.794766958396038e-6
model_2,rf,9,roc_auc,0.8329827191807413,1.6446581495728255e-6
model_2,rf,9,accuracy,0.8040430388001304,5.655670250611035e-6
model_2,rf,9,f1,0.8837796608358852,2.469669162471724e-6
model_2,rf,10,precision,0.9632485019795735,1.8984042451732602e-7
model_2,rf,10,recall,0.8170326727370113,4.390651158047772e-6
model_2,rf,10,roc_auc,0.8326716651040269,1.2367206652818907e-6
model_2,rf,10,accuracy,0.8044669057711118,3.6799064985883256e-6
model_2,rf,10,f1,0.8841304857933973,1.5990709855810483e-6
model_2,rf,11,precision,0.9630825311715618,2.083527720709292e-7
model_2,rf,11,recall,0.8169969648277093,5.358417741163291e-6
model_2,rf,11,roc_auc,0.8329315356109352,1.4138562587183052e-6
model_2,rf,11,accuracy,0.8043038800130421,5.1044550203588446e-6
model_2,rf,11,f1,0.8840394283149019,2.1664674889280514e-6
model_2,rf,12,precision,0.9634550303256004,1.794916541268122e-7
model_2,rf,12,recall,0.8162113908230673,5.452771795380108e-6
model_2,rf,12,roc_auc,0.8328849076468187,1.337914239511659e-6
model_2,rf,12,accuracy,0.8039126181936745,4.899277509387376e-6
model_2,rf,12,f1,0.8837355316952249,2.1089922120752e-6
model_2,rf,13,precision,0.9631835499830705,2.873205261849556e-7
model_2,rf,13,recall,0.8174254597393322,4.547482896813589e-6
model_2,rf,13,roc_auc,0.832877806261479,1.5435046237570163e-6
model_2,rf,13,accuracy,0.8047603521356375,4.243347331825862e-6
model_2,rf,13,f1,0.8843333325052016,1.8050172655455802e-6
model_2,rf,14,precision,0.9635921665951579,1.852947053778315e-7
model_2,rf,14,recall,0.8174611676486342,4.923624058894012e-6
model_2,rf,14,roc_auc,0.8330446888169595,1.1748348696306149e-6
model_2,rf,14,accuracy,0.8051190088033909,3.865948283147902e-6
model_2,rf,14,f1,0.884525100585397,1.6963126683278983e-6
model_2,rf,15,precision,0.9634061366301466,3.471878678953755e-7
model_2,rf,15,recall,0.8168898410998037,3.5848165328448927e-6
model_2,rf,15,roc_auc,0.8329320715645457,1.1607099740191312e-6
model_2,rf,15,accuracy,0.8044669057711119,2.898531003438156e-6
model_2,rf,15,f1,0.8841137248953421,1.2612866970089517e-6
model_2,rf,16,precision,0.9635818125068059,3.2513468586864616e-7
model_2,rf,16,recall,0.8172469201928227,5.889478059829376e-6
model_2,rf,16,roc_auc,0.8328205262193531,1.1315831907522871e-6
model_2,rf,16,accuracy,0.8049233778937073,5.205449131976917e-6
model_2,rf,16,f1,0.8843946746365325,2.2353817140426534e-6
model_2,rf,17,precision,0.9634573993866462,3.067881362192888e-7
model_2,rf,17,recall,0.8172112122835208,5.219436769411545e-6
model_2,rf,17,roc_auc,0.8329038670057913,1.3604747435382853e-6
model_2,rf,17,accuracy,0.8047929572872514,4.992829949623112e-6
model_2,rf,17,f1,0.8843227707906095,2.1108019832001135e-6
model_2,rf,18,precision,0.96358334694435,2.83277220154801e-7
model_2,rf,18,recall,0.8172826281021246,4.356224678806508e-6
model_2,rf,18,roc_auc,0.8332153230477136,1.7679782480817263e-6
model_2,rf,18,accuracy,0.8049559830453211,3.9430227367511425e-6
model_2,rf,18,f1,0.8844182067248814,1.6842582987945407e-6
model_2,rf,19,precision,0.9635017836877334,3.1265973111556835e-7
model_2,rf,19,recall,0.816318514550973,3.6638699296210495e-6
model_2,rf,19,roc_auc,0.832642723609058,1.512261786964028e-6
model_2,rf,19,accuracy,0.8040430388001304,3.3248324640575236e-6
model_2,rf,19,f1,0.8838197770351937,1.4207062574690067e-6
model_2,rf,20,precision,0.9634140696793299,2.0339394400750782e-7
model_2,rf,20,recall,0.817139796464917,4.652037389324061e-6
